University,State,Private,SATm,SATv,SAT,ACT,SATm25,SATm75,SATv25,SATv75,ACT25,ACT75,Apps,Accept,Enroll,Top10perc,Top25perc,F.Undergrad,P.Undergrad,Instate,Outstate,Room.Board,Room,Board,Fees,Books,Personal,PhD,Terminal,S.F.Ratio,perc.Alumni,Expend,Grad.Rate,Sal.Prof,Sal.Assoc,Sal.Assist,Sal.All,Comp.Prof,Comp.Assoc,Comp.Assist,Comp.All,Num.Prof,Num.Assoc,Num.Assist,Num.Instruct,Num.Faculty
Arkansas College (Lyon College),AR,2,*,*,*,25,*,*,*,*,22,27,708,334,166,46,74,530,182,8644,8644,3922,2382,1540,120,500,800,79,88,12.6,24,14579,54,499,*,330,399,618,*,402,488,14,5,21,2,42
Arkansas Tech University,AR,1,*,*,*,21,*,*,*,*,18,24,1734,1729,951,12,52,3602,939,1730,3460,2650,*,*,60,450,1000,57,60,19.6,5,4739,48,439,381,337,374,550,479,427,471,44,71,52,13,180
Arkansas State University,AR,1,*,*,*,21,*,*,*,*,18,24,2688,2633,1488,*,*,7212,1707,1800,3720,2580,*,*,130,500,*,71,73,20.0,9,5128,39,520,433,342,398,646,541,431,498,103,87,141,63,394
University of Central Arkansas,AR,1,*,*,*,22,*,*,*,*,18,25,3131,2703,1792,*,47,7402,1119,1700,3274,2600,1440,1160,126,600,1761,71,72,20.5,10,4252,36,521,416,339,395,632,507,416,482,93,89,82,76,340
University of the Ozarks,AR,2,*,*,*,*,*,*,*,*,17,21,218,215,126,15,55,570,59,4800,4800,2850,1650,1200,120,400,2000,49,51,12.8,*,8177,*,309,280,274,285,428,383,376,391,14,9,15,2,40
Henderson State University,AR,1,*,*,*,*,*,*,*,*,17,22,1490,1490,771,21,47,2942,997,1440,2880,2400,2400,*,80,500,*,58,58,19.0,12,4540,68,447,375,341,375,561,480,435,477,55,42,33,25,155
Hendrix College,AR,2,564,525,1089,26,490,620,460,580,23,28,823,721,274,52,87,954,6,8800,8800,3195,1935,1260,325,500,1200,82,99,13.1,26,8588,63,485,399,362,421,664,534,453,562,24,26,14,1,65
John Brown University,AR,2,509,484,993,23,450,600,440,600,20,27,605,405,284,24,53,961,99,6398,6398,3672,1450,2222,148,400,1350,68,68,13.3,19,8118,75,372,338,304,341,478,414,375,426,23,22,10,3,58
University of Arkansas at Little Rock,AR,1,*,*,*,19,*,*,*,*,17,22,1766,1322,1194,*,*,5753,4058,2136,5352,2435,2435,*,166,800,800,61,77,14.7,4,4724,19,536,416,372,415,651,506,450,504,128,117,72,63,398
Ouachita Baptist University,AR,2,*,*,*,*,*,*,*,*,21,26,910,773,450,31,73,1310,61,6530,6530,2800,2800,*,100,500,1500,63,67,13.3,10,6413,65,422,355,289,342,529,445,375,435,36,14,28,19,97
Williams Baptist College,AR,2,*,*,*,19,*,*,*,*,17,22,220,210,131,12,34,509,97,3952,3952,2292,*,*,150,400,600,62,62,18.0,*,4061,*,*,*,264,266,*,*,327,331,4,4,12,4,24
Southern Arkansas University,AR,1,*,*,*,*,*,*,*,*,*,*,792,792,499,26,45,2229,270,1500,2340,2240,*,*,*,400,*,40,74,17.0,*,4653,33,461,389,321,362,575,484,402,453,27,31,34,23,115
University of Arkansas at Fayetteville,AR,1,*,*,*,*,*,*,*,*,20,26,3235,3108,2133,25,65,9978,1530,1932,5028,3300,3300,*,122,500,2000,73,89,14.8,10,6820,39,563,436,379,452,686,531,461,550,314,198,225,54,806
Harding University,AR,2,530,490,1020,24,*,*,*,*,20,28,1721,1068,806,35,75,3128,213,5504,5504,3528,1650,1878,1016,700,910,71,77,17.7,37,6466,73,424,374,335,380,512,461,401,460,80,46,41,8,179
Grand Canyon University,AZ,2,485,441,926,22,420,550,380,500,19,24,497,393,169,*,*,1364,454,6870,6870,3100,*,*,370,400,1125,56,60,14.2,*,6219,81,358,328,274,299,439,395,332,363,20,18,24,12,74
Arizona State University Main campus,AZ,1,521,453,974,23,450,590,390,500,20,25,12809,10308,3761,24,49,22593,7585,1828,7434,4850,*,*,66,700,2100,88,93,18.9,5,4602,48,603,449,399,489,723,549,489,593,576,445,251,7,1383
Northern Arizona University,AZ,1,495,444,939,22,420,560,380,500,19,24,5891,4931,1973,23,48,11249,2682,1828,6746,3728,1890,1838,66,620,2342,78,83,21.7,7,6157,41,511,422,359,412,619,518,446,507,173,192,175,33,608
University of Arizona,AZ,1,526,462,983,23,450,600,400,520,20,26,14079,12238,4529,29,57,21664,4894,1828,7434,4216,2186,2030,66,620,2550,91,95,19.6,*,9683,49,648,462,411,537,771,561,498,645,647,377,272,2,1349
Azusa Pacific University,CA,2,474,428,902,21,410,560,380,490,19,24,1080,948,504,25,56,2032,122,15500,15500,3700,1900,1800,206,250,750,47,60,12.8,7,9627,*,430,375,318,368,573,494,428,488,43,62,32,12,156
Biola University,CA,2,500,440,940,22,425,590,400,550,18,26,1118,896,459,*,*,2058,111,11388,11388,4546,1984,2562,*,1000,*,67,67,16.6,15,9329,36,455,369,303,370,582,462,371,464,32,57,31,6,126
California Institute of Technology,CA,2,750,660,1410,*,740,780,610,700,*,*,1916,507,210,98,100,912,*,16695,16695,5051,*,*,210,735,3466,100,100,6.5,36,62469,83,970,733,576,866,1204,909,717,1075,173,40,44,0,257
California Lutheran University,CA,2,495,436,931,21,430,560,370,490,19,24,563,247,247,23,52,1427,432,12950,12950,5300,5300,*,215,612,576,72,74,12.4,17,8985,60,477,392,335,398,600,501,433,507,32,21,33,6,92
California State Univ. at Fullerton,CA,1,476,395,871,21,400,540,330,450,17,23,6004,4480,1470,*,*,12147,6681,1606,8990,3476,3476,*,1606,600,*,88,93,19.9,*,6288,56,605,493,387,544,760,637,506,690,393,120,105,5,623
California State Univ. at Hayward,CA,1,*,*,*,*,*,*,*,*,*,*,2121,698,1126,*,*,6790,2988,1432,8803,2550,2550,*,*,450,*,*,*,20.5,*,7237,47,606,491,384,552,762,629,503,699,258,69,49,7,383
California State Univ. at Long Beach,CA,1,456,382,838,21,*,*,*,*,*,*,10278,7746,2576,*,*,*,*,1053,8233,4400,4400,*,*,*,*,80,83,20.3,*,5382,48,600,474,401,542,751,610,521,685,491,171,112,6,780
California State Univ. at Dominguez Hills,CA,1,*,*,*,*,*,*,*,*,*,*,1493,1194,428,*,*,4246,2457,1440,8820,2116,*,2116,*,*,*,90,90,18.1,*,8257,24,605,472,392,548,759,606,593,705,178,52,37,1,268
California Polytechnic-San Luis,CA,1,547,455,1002,21,300,700,300,600,17,26,7811,3817,1650,47,73,12911,1404,2033,7380,4877,2335,2542,20,612,2091,72,81,19.8,13,8453,59,607,496,394,571,763,635,514,721,507,102,60,1,670
California Poly-Pomona,CA,1,*,*,*,*,420,570,320,460,17,24,5945,3887,1566,*,60,11177,4027,*,5904,4862,2499,2363,1720,630,2430,73,76,18.5,7,7867,50,610,492,408,559,766,630,531,707,411,116,79,4,610
California State University at Chico,CA,1,479,420,899,21,420,540,370,480,18,23,4816,3922,1278,*,75,11822,1343,*,5904,5050,2020,3030,1982,612,2100,*,*,18.9,5,7798,63,604,482,395,558,758,631,518,707,413,86,73,2,574
California State University at Fresno,CA,1,*,*,*,*,*,*,*,*,*,*,4540,3294,1483,5,60,13494,1254,1802,7706,4368,*,*,*,600,1926,90,90,21.2,8,7268,61,603,476,382,553,757,612,500,699,459,109,67,14,649
Humboldt State University,CA,1,501,455,956,22,*,*,*,*,*,*,3467,2190,565,*,*,5637,678,1599,9979,4200,4200,*,1467,600,800,80,82,16.4,4,8650,65,593,468,387,543,746,603,507,688,213,38,50,0,301
San Diego State University,CA,1,457,394,851,20,*,*,*,*,*,*,9402,7020,2151,20,70,16407,5550,1742,8384,5110,3556,*,*,612,2400,87,93,19.5,7,7930,41,602,479,403,547,756,615,524,693,576,223,100,10,909
San Jose State University,CA,1,467,371,838,19,380,540,300,440,16,21,5210,4094,1420,*,*,14392,7263,1976,8820,4224,1680,2544,194,350,2204,72,74,17.4,6,5957,46,598,486,404,528,750,623,526,669,431,222,158,8,819
Sonoma State University,CA,1,482,486,968,22,410,540,370,500,19,25,2726,982,557,47,84,4239,1259,*,7830,5189,3348,1841,2106,610,1650,79,86,16.1,1,7304,40,602,459,380,553,755,592,497,699,170,34,29,0,233
Chapman University,CA,2,501,456,957,22,430,560,400,500,19,24,959,771,351,23,48,1662,209,16624,16624,5895,5895,*,521,600,1100,72,80,12.8,6,12692,47,578,470,420,491,763,627,573,656,38,37,36,0,111
Claremont McKenna College,CA,2,670,600,1270,28,620,720,560,640,26,30,1860,767,227,71,93,887,1,17000,17000,6010,3160,2850,140,500,850,99,99,9.6,52,18443,87,716,516,411,601,892,661,510,751,36,16,12,2,67
Harvey Mudd College,CA,2,740,630,1370,*,710,770,580,690,*,*,1377,572,178,95,100,654,5,17230,17230,6690,3320,3370,465,700,900,100,100,8.2,46,21569,100,771,579,454,638,961,739,588,805,34,14,20,0,68
Pitzer College,CA,2,590,560,1150,26,540,630,530,610,24,29,1133,630,220,37,73,750,30,17688,17688,5900,3192,2708,1548,650,850,100,100,10.4,11,14820,73,652,439,381,547,824,572,482,695,31,10,13,0,54
Pomona College,CA,2,700,640,1340,31,650,730,600,680,*,*,3037,1130,390,80,98,1500,*,17720,17720,7220,*,*,180,800,1000,94,98,8.9,47,20682,91,730,525,417,566,909,658,530,708,60,52,40,7,161
Scripps College,CA,2,590,560,1150,26,540,640,500,610,*,*,855,632,139,60,83,569,7,17238,17238,7350,3500,3850,112,600,800,95,100,8.2,41,18372,73,611,458,372,511,776,588,495,658,28,10,15,1,54
College of Notre Dame,CA,2,*,*,*,*,390,510,380,470,18,23,344,264,97,11,42,500,331,12600,12600,5520,5520,*,*,630,2250,77,80,10.4,7,9773,43,524,421,374,448,630,503,443,535,25,16,15,3,59
Holy Names College,CA,2,450,448,898,*,390,500,400,470,*,*,258,157,43,*,*,273,317,11480,11480,5280,*,*,290,630,2034,75,75,7.8,41,10362,44,484,394,275,368,542,443,311,413,10,22,18,1,51
University of La Verne,CA,2,472,431,903,22,400,540,362,475,16,25,1597,969,226,16,38,1431,1522,13540,13540,5050,5050,*,*,630,2298,66,68,14.1,23,10139,47,482,392,326,401,602,478,396,494,41,28,41,0,110
Mills College,CA,2,520,530,1050,25,480,600,470,610,*,*,529,414,132,32,66,781,43,14100,14100,6000,*,3000,442,600,1370,*,99,10.3,24,14299,64,593,461,407,492,737,571,507,612,28,16,23,2,70
Occidental College,CA,2,570,510,1080,*,500,640,440,560,*,*,2324,1319,370,52,81,1686,35,16560,16560,5140,2980,2160,334,558,1152,91,93,10.5,30,16196,79,624,469,388,490,806,593,482,621,49,42,33,15,139
Fresno Pacific College,CA,2,532,476,1008,22,470,590,410,530,20,25,346,274,146,51,87,704,63,9900,9900,3670,1500,2170,174,630,1818,59,59,10.5,14,8095,54,*,*,*,361,*,*,*,447,0,0,0,0,54
Pacific Union College,CA,2,*,*,*,22,*,*,*,*,19,25,940,668,385,20,48,1316,139,11925,11925,3825,1590,2235,*,630,1926,48,87,12.3,12,9157,69,362,333,315,336,441,398,376,403,40,17,41,4,102
Point Loma Nazarene College,CA,2,472,425,897,21,390,540,360,490,19,23,809,687,428,20,43,1889,217,10176,10178,4190,*,*,134,800,750,71,71,16.1,19,7895,54,507,393,358,429,637,523,468,549,43,21,23,7,94
Pepperdine University,CA,2,585,514,1099,25,510,630,450,550,22,28,3821,2037,680,86,96,2488,625,18200,18200,6770,3750,3020,70,500,700,95,98,11.6,13,16185,66,715,561,511,637,930,737,645,829,130,72,22,7,231
St. Mary's College of California,CA,2,549,483,1032,*,501,598,432,538,*,*,2643,1611,465,36,80,2615,248,13332,13332,6354,3177,3177,120,630,1584,88,89,16.1,17,9619,78,614,494,404,500,754,616,497,618,38,55,42,0,135
Stanford University,CA,2,736,665,1401,31,650,750,580,690,26,33,13608,2926,1616,88,97,6573,*,18669,18669,6795,*,*,*,840,1355,*,99,9.7,25,33629,96,952,658,519,824,1144,814,653,1000,533,139,145,0,834
University of California at Berkeley,CA,1,654,564,1218,*,590,730,500,640,*,*,19873,8252,3215,95,100,19532,2061,3949,11648,6246,*,*,*,636,1933,93,97,15.8,10,13919,78,764,513,433,650,939,631,533,799,834,229,209,0,1346
University of California at Davis,CA,1,585,485,1070,24,520,650,420,560,21,27,16343,11399,3124,95,100,15429,1888,*,7699,5285,*,*,4374,841,2374,*,98,14.5,11,15873,76,683,478,404,561,840,588,496,689,535,190,234,0,1072
University of California at Irvine,CA,1,574,455,1029,*,510,640,390,510,*,*,15698,10775,2478,85,100,12677,864,4325,12024,5302,*,*,*,790,1818,96,96,16.1,11,15934,66,708,488,423,574,870,599,520,705,319,161,138,0,673
University of California at Los Angeles,CA,1,621,520,1141,*,558,700,460,590,*,*,22165,10435,3591,93,100,21637,1255,*,7689,5580,*,*,3894,850,1255,97,99,11.8,9,20260,77,741,497,421,609,910,611,517,748,817,267,298,0,1499
University of California at Riverside,CA,1,542,440,982,23,470,620,360,510,19,25,9798,7566,1470,80,100,6922,265,*,7699,5430,*,*,4092,780,1350,98,99,13.4,8,12528,62,670,461,390,514,824,567,479,632,183,80,140,0,441
University of California at San Diego,CA,1,616,515,1131,26,560,680,460,570,23,28,19433,11469,2481,95,100,13738,711,*,7699,6607,*,*,4128,630,1935,100,100,13.9,6,17674,66,723,487,401,595,888,598,493,732,405,147,130,0,734
University of California at Santa Barbara,CA,1,547,459,1006,*,520,610,400,490,*,*,16663,14141,3239,90,100,15638,693,*,11218,5990,*,*,4372,630,2045,96,100,18.9,6,9475,69,712,473,401,578,875,581,493,711,371,125,145,0,694
University of California at Santa Cruz,CA,1,554,505,1059,*,490,620,440,580,*,*,10758,8559,1717,94,100,8713,607,*,7699,6081,6081,*,4110,633,1191,94,100,21.3,10,10860,59,677,464,391,537,832,570,481,660,186,93,92,0,413
University of Redlands,CA,2,*,*,*,*,470,610,450,540,21,26,1498,1219,306,26,63,1369,1587,16530,16530,6205,2795,3410,405,600,*,81,87,8.9,25,10685,73,566,468,406,488,716,592,495,610,49,19,39,0,109
University of San Francisco,CA,2,514,463,977,21,450,590,390,520,20,25,2306,1721,538,23,48,4309,549,13226,13226,6452,3846,2606,100,750,2450,86,86,13.6,8,10074,62,617,486,405,514,811,644,538,680,129,59,80,19,287
Santa Clara University,CA,2,*,*,*,*,520,630,440,540,*,*,4019,2779,888,40,73,3891,128,13584,13584,5928,5928,*,396,630,1278,88,92,13.9,19,10872,100,763,555,487,578,938,704,624,729,85,117,90,0,324
University of Southern California,CA,2,592,498,1090,25,520,660,430,570,22,28,12229,8498,2477,45,71,13259,1429,17230,17230,6482,3566,2916,330,600,2210,90,94,11.4,10,17007,68,802,574,484,641,1016,751,636,825,485,354,286,27,1165
University of the Pacific,CA,2,531,444,975,*,460,620,400,540,*,*,2459,1997,582,36,66,2664,299,16320,16320,5326,*,*,330,646,1171,87,94,11.2,14,13706,65,542,420,372,459,666,528,468,570,172,92,100,10,377
Westmont College,CA,1,550,501,1051,24,480,620,450,550,22,26,950,713,351,42,72,1276,9,14320,14320,5304,3080,2224,866,490,1410,77,77,14.9,17,8837,87,489,408,339,415,616,524,429,526,30,19,22,3,74
Whittier College,CA,2,507,454,961,*,430,580,390,510,*,*,1681,1069,344,35,63,1235,30,16249,16249,5699,5699,*,579,500,1998,84,92,13.6,29,11778,52,666,499,347,531,808,601,416,642,48,27,24,9,108
Woodbury University,CA,2,441,381,822,20,380,500,320,430,17,22,349,313,111,*,*,765,191,13020,13020,5490,*,*,840,900,2160,28,60,13.5,2,6944,54,*,373,365,381,*,472,454,478,5,11,6,0,22
San Francisco Art Institute,CA,2,*,*,*,*,*,*,*,*,*,*,177,136,41,*,*,438,103,14500,14500,5600,5600,*,*,1200,1620,*,100,14.4,*,9742,30,599,483,397,541,751,619,518,684,451,133,117,8,709
California State Univ. at Bakersfield,CA,1,450,392,842,21,*,*,*,*,*,*,941,643,415,*,66,2571,1263,1204,8725,3475,*,3475,914,300,*,82,94,13.4,*,*,24,597,482,377,499,752,619,495,637,95,48,50,13,206
University of San Diego,CA,2,548,490,1038,*,500,600,450,520,*,*,3934,2735,886,40,70,3698,217,13600,13600,5940,*,*,100,630,1820,93,96,15.6,13,10813,66,719,533,452,575,904,678,569,725,105,72,76,12,265
Loyola Marymount University,CA,2,549,485,1034,*,480,600,420,530,*,*,3768,2662,753,42,64,3558,436,13592,13592,5916,3276,2640,176,545,1328,84,88,14.2,10,11677,84,722,558,414,589,911,724,543,754,130,90,83,3,310
Adams State College,CO,1,*,*,*,21,*,*,*,*,18,24,1508,1259,569,16,44,1922,232,1386,1672,3730,1820,1910,374,520,2200,63,67,27.9,*,3897,60,436,356,321,360,527,444,400,444,29,21,40,8,98
Colorado College,CO,2,*,*,*,*,560,670,510,620,25,30,3207,1577,490,56,87,1892,7,17142,17142,4190,2114,2076,120,450,1200,85,97,11.3,51,14664,84,613,488,398,525,776,621,509,665,63,38,26,1,134
University of Northern Colorado,CO,1,480,440,920,22,420,540,380,480,19,24,5530,4007,1697,12,37,8463,1498,1829,7731,4128,*,*,398,540,2286,75,75,21.5,8,6309,40,480,390,333,385,565,463,399,458,151,111,129,35,467
Colorado State University,CO,1,545,479,1024,25,490,610,430,540,22,27,9478,6312,2194,29,65,15646,1829,2124,8412,4180,4180,*,585,470,1800,87,89,19.2,10,7850,59,598,447,403,517,714,534,481,617,483,255,188,0,926
Fort Lewis College,CO,1,*,*,*,*,*,*,*,*,*,*,3440,2823,1123,16,35,3793,486,1450,6198,3320,1820,1500,327,500,2500,89,97,19.1,6,4362,46,439,385,342,392,516,452,402,460,73,35,52,5,165
Mesa State College,CO,1,451,400,851,20,*,*,*,*,16,25,1584,1456,891,6,18,3471,911,1434,5016,3798,1782,2016,380,540,2256,48,48,28.8,12,3871,59,429,353,297,340,508,427,363,410,49,31,37,7,145
Metropolitan State College,CO,1,448,407,855,20,380,510,330,460,17,22,3512,2975,1662,6,23,9544,8177,1494,5790,*,*,*,129,500,1205,75,73,21.1,14,4400,25,480,406,351,418,568,485,424,498,159,90,111,8,370
Regis University,CO,2,487,442,929,22,*,*,*,*,*,*,1107,904,308,*,*,1142,27,12700,12700,5480,2700,2780,60,520,1170,90,90,14.8,15,*,53,489,434,349,424,626,531,428,527,16,26,12,2,56
University of Southern Colorado,CO,1,480,428,908,20,400,530,330,460,17,23,1401,1239,605,10,34,3716,675,1644,7100,4380,1756,2624,324,540,2948,63,88,19.4,0,5389,36,474,422,360,397,559,498,425,468,47,45,63,15,170
University of Colorado at Boulder,CO,1,*,*,*,*,500,630,440,540,22,28,14063,9320,3436,28,65,18465,1541,2230,12563,3811,3811,*,459,540,2319,90,90,19.9,*,8703,66,652,494,421,528,797,615,519,649,457,301,227,93,1081
University of Denver,CO,2,540,470,1010,24,470,590,430,540,21,27,2974,2001,580,29,60,2666,554,15192,15192,4695,4695,*,330,400,1350,84,91,15.9,21,11762,67,623,479,430,509,756,588,525,620,142,106,101,6,378
Western State College of Colorado,CO,1,470,420,890,21,400,520,360,470,18,22,2702,1623,604,7,24,2315,146,1819,5918,3755,1936,1819,507,500,2050,76,79,19.4,4,4599,52,452,381,324,402,546,460,406,490,52,25,26,0,103
University of Colorado at Colorado Springs,CO,1,*,*,*,*,450,570,400,510,21,26,826,620,318,12,39,2570,1569,2475,8090,5544,*,*,*,540,2888,93,93,15.0,*,6236,*,522,422,385,451,642,524,480,558,62,56,40,3,161
University of Colorado at Denver,CO,1,529,478,1007,23,*,*,*,*,*,*,1199,562,261,30,74,3805,2728,1828,9244,*,*,*,240,520,2138,89,96,18.1,6,7996,24,596,453,408,467,726,561,508,576,106,108,119,35,368
Colorado Christian University,CO,2,445,422,867,21,*,*,*,*,*,*,735,583,310,9,*,1001,65,6720,6720,3480,3480,*,550,400,3725,56,56,8.6,2,4588,*,*,284,251,255,*,356,318,323,3,8,13,8,32
Albertus Magnus College,CT,2,460,430,890,23,*,*,*,*,*,*,353,340,103,17,45,416,230,13290,13290,5720,5720,*,200,500,1500,90,93,11.5,26,8861,63,391,343,*,340,444,400,*,393,9,7,5,3,24
Central Connecticut State University,CT,1,457,414,871,*,400,510,370,460,*,*,4158,2532,902,6,24,6394,3881,1842,5962,4444,2384,2060,1298,500,985,69,73,16.7,4,4900,49,666,534,397,518,856,700,536,680,118,119,137,16,390
Connecticut College,CT,2,*,*,*,*,550,656,517,626,*,*,3035,1546,438,42,93,1630,232,18740,18740,6300,2935,3365,210,600,500,86,95,10.7,40,14773,91,619,461,366,499,810,613,477,654,63,35,30,11,140
Western Connecticut State University,CT,1,*,*,*,*,*,*,*,*,*,*,2486,1503,528,7,23,2818,1861,1842,5962,3936,2174,1762,1218,*,*,69,76,15.5,*,5920,*,658,516,477,575,883,711,652,778,90,36,50,2,178
Fairfield University,CT,2,560,498,1058,25,510,610,450,540,*,*,4784,3346,781,30,66,2984,1037,15000,15000,6200,6200,*,310,700,1100,86,90,15.1,30,11220,94,685,545,452,545,894,733,603,721,62,43,81,6,192
University of New Haven,CT,2,495,434,929,*,450,580,400,550,*,*,1651,1412,336,*,11,1411,1914,10600,10600,5020,3120,1900,200,500,*,79,90,15.6,6,7033,79,524,450,401,471,656,576,513,596,72,44,30,1,152
