FICE	name	State	type	SATm	SATv	SAT	ACT	SATm25	SATm75	SATv25	SATv75	ACT25	ACT75	new.applied	new.accepted	new.enrolled	new.top10HS	new.top25HS	undergrads	parttime	tuition.in	tuition	room+board	room	board	cost.fees	cost.books	cost.pers	fac.phd	fac.term	sf.ratio	donate	exp.stud	graduate	College	College.aaup	State.aaup	type.aaup	sal.prof	sal.assoc	sal.assist	sal.all	comp.prof	comp.assoc	comp.assist	comp.all	profs	assocs	assists	instruct	faculty
1024	                           Livingston U.	AL	public	*	*	*	19	*	*	*	*	16	21	 1206	  957	 444	*	*	 1627	  132	 1740	 1740	2449	1162	1287	 243	 570	2100	 58	 58	18.8	 4	 4272	 36	                        Livingston University	          Livingston University	AL	IIB	 360	304	258	300	 433	369	313	 363	 27	 25	 33	  4	  89
1029	                               U. Mobile	AL	private	*	*	*	22	*	*	*	*	*	*	  452	  331	 269	17	 54	 1417	  301	 6150	 6150	3680	*	*	  70	 550	1200	 59	 63	16.6	 4	 5412	 52	                         University of Mobile	           University of Mobile	AL	IIB	 354	321	277	291	 436	401	346	 363	 17	 19	 31	 19	  86
1033	                              Oakwood C.	AL	private	382	378	 760	17	*	*	*	*	*	*	  949	  605	 385	*	*	 1316	  135	 6639	 6639	3999	*	*	 368	 600	2500	 52	 52	14.5	12	 7986	*	                              Oakwood College	                Oakwood College	AL	IIB	 301	290	283	290	 375	363	355	 362	 18	 28	 28	  3	  77
1036	                              Samford U.	AL	private	*	*	*	*	485	585	445	545	22	28	 1680	 1395	 691	34	 76	 2959	  402	 8236	 8236	3700	3700	*	*	 569	1650	 74	 75	14.7	17	 9533	 61	                           Samford University	             Samford University	AL	IIA	 565	425	363	449	 710	556	476	 578	 83	 46	 77	  9	 215
1041	                          Spring Hill C.	AL	private	525	480	 990	24	480	550	430	520	22	26	  773	  694	 230	*	*	  942	  224	11478	11478	4788	2450	2338	 645	 500	 900	 80	 89	14.4	23	 8594	 70	                          Spring Hill College	            Spring Hill College	AL	IIB	 431	352	311	373	 518	425	374	 449	 23	 17	 14	  1	  55
1044	                             Stillman C.	AL	private	*	*	*	*	*	*	*	*	*	*	  629	  614	 248	*	*	  866	   22	 4460	 4460	2754	1683	1071	 100	 600	1000	 47	 47	14.3	*	 5031	 47	                             Stillman College	               Stillman College	AL	IIB	 321	288	251	272	 388	354	312	 335	 13	 18	 18	 10	  59
1047	                   Troy State U. at Troy	AL	public	510	470	 980	20	350	480	380	550	18	24	 1471	 1281	 824	18	 67	 4343	  990	 1697	 2883	2570	1450	1120	  75	 300	*	 50	 50	23.0	*	 4295	 48	                Troy State University at Troy	     Troy State University-Main	AL	IIA	 462	385	322	350	 560	467	392	 426	 25	 59	100	 19	 204
1050	                             Tuskegee U.	AL	private	*	*	*	*	*	*	*	*	*	*	 2267	 1827	 611	20	 59	 2825	  144	 6735	 6735	3395	3395	*	*	 600	1425	 70	 74	12.2	 7	10872	 65	                          Tuskegee University	            Tuskegee University	AL	IIA	 410	352	306	327	 487	415	362	 387	 57	 65	 85	 45	 254
1051	                U. Alabama at Tuscaloosa	AL	public	*	*	*	23	*	*	*	*	20	25	 7593	 5972	2682	*	 57	13780	 1599	 2172	 5424	3530	1600	1930	*	 580	1654	 80	 91	17.3	29	 6426	 50	          University of Alabama at Tuscaloosa	          University of Alabama	AL	I	 605	447	382	463	 746	563	483	 580	267	206	206	 76	 762
1052	                U. Alabama at Birmingham	AL	public	*	*	*	21	*	*	*	*	18	24	 1797	 1260	 938	24	 35	 6960	 4698	 2220	 4440	5175	1935	3240	 291	 750	2200	 96	 96	 6.7	16	16352	 33	          University of Alabama at Birmingham	    Univ. Alabama at Birmingham	AL	I	 633	445	366	461	 786	569	475	 587	106	163	107	 19	 406
1055	                U. Alabama at Huntsville	AL	public	542	468	1010	24	470	610	390	530	21	26	 1376	  957	 445	*	 57	 2727	 3394	 2480	 4960	3500	2500	1000	*	 600	2100	 83	 88	12.7	12	 8863	 38	          University of Alabama at Huntsville	    Univ. Alabama in Huntsville	AL	IIA	 636	443	375	451	 771	540	455	 548	 72	 87	 98	  7	 282
1057	                        U. South Alabama	AL	public	*	*	*	23	*	*	*	*	19	24	 2328	 2110	1047	*	*	 7516	 2943	 2208	 3108	2850	1530	1320	 183	 480	1470	 80	 80	13.3	*	 8667	 43	                  University of South Alabama	    University of South Alabama	AL	IIA	 542	426	370	418	 645	514	450	 504	119	103	142	 64	 434
8310	                 Auburn U. at Montgomery	AL	public	*	*	*	21	*	*	*	*	*	*	  985	  868	 645	*	*	 3477	 1929	 1905	 5715	4430	1650	2780	*	 600	2500	 74	 76	18.1	*	 4792	 42	              Auburn University at Montgomery	     Auburn Univ. at Montgomery	AL	IIA	 519	422	343	403	 621	507	411	 483	 56	 54	 63	 28	 201
1085	               U. Arkansas at Monticello	AR	public	*	*	*	*	*	*	*	*	*	*	  826	  794	 662	*	*	 4539	  357	 1536	 3552	2310	 840	1470	  84	 500	2800	 54	 54	42.6	*	 2033	*	         University of Arkansas at Monticello	       Univ. Ark. at Monticello	AR	IIB	 453	363	330	349	 561	448	402	 428	 23	 24	 48	 22	 117
1086	               U. Arkansas at Pine Bluff	AR	public	368	326	 694	16	*	*	*	*	*	*	 1450	 1360	 744	*	*	 2993	 1020	 1392	 3216	2328	2328	*	 143	 450	*	 47	 48	16.2	*	 4618	*	         University of Arkansas at Pine Bluff	   Univ. Arkansas at Pine Bluff	AR	IIB	 406	366	332	335	 505	457	415	 419	 40	 33	 71	 46	 192
1088	                   Arkansas C. (Lyon C.)	AR	private	*	*	*	25	*	*	*	*	22	27	  708	  334	 166	46	 74	  530	  182	 8644	 8644	3922	2382	1540	 120	 500	 800	 79	 88	12.6	24	14579	 54	              Arkansas College (Lyon College)	Arkansas College (Lyon College)	AR	IIB	 499	*	330	399	 618	*	402	 488	 14	  5	 21	  2	  42
1089	                        Arkansas Tech U.	AR	public	*	*	*	21	*	*	*	*	18	24	 1734	 1729	 951	12	 52	 3602	  939	 1730	 3460	2650	*	*	  60	 450	1000	 57	 60	19.6	 5	 4739	 48	                     Arkansas Tech University	       Arkansas Tech University	AR	IIB	 439	381	337	374	 550	479	427	 471	 44	 71	 52	 13	 180
1090	                       Arkansas State U.	AR	public	*	*	*	21	*	*	*	*	18	24	 2688	 2633	1488	*	*	 7212	 1707	 1800	 3720	2580	*	*	 130	 500	*	 71	 73	20.0	 9	 5128	 39	                    Arkansas State University	      Arkansas State Univ.-Main	AR	IIA	 520	433	342	398	 646	541	431	 498	103	 87	141	 63	 394
1092	                     U. Central Arkansas	AR	public	*	*	*	22	*	*	*	*	18	25	 3131	 2703	1792	*	 47	 7402	 1119	 1700	 3274	2600	1440	1160	 126	 600	1761	 71	 72	20.5	10	 4252	 36	               University of Central Arkansas	      Univ. of Central Arkansas	AR	IIA	 521	416	339	395	 632	507	416	 482	 93	 89	 82	 76	 340
1094	                           U. the Ozarks	AR	private	*	*	*	*	*	*	*	*	17	21	  218	  215	 126	15	 55	  570	   59	 4800	 4800	2850	1650	1200	 120	 400	2000	 49	 51	12.8	*	 8177	*	                     University of the Ozarks	       University of the Ozarks	AR	IIB	 309	280	274	285	 428	383	376	 391	 14	  9	 15	  2	  40
1098	                      Henderson State U.	AR	public	*	*	*	*	*	*	*	*	17	22	 1490	 1490	 771	21	 47	 2942	  997	 1440	 2880	2400	2400	*	  80	 500	*	 58	 58	19.0	12	 4540	 68	                   Henderson State University	     Henderson State University	AR	IIB	 447	375	341	375	 561	480	435	 477	 55	 42	 33	 25	 155
1099	                              Hendrix C.	AR	private	564	525	1089	26	490	620	460	580	23	28	  823	  721	 274	52	 87	  954	    6	 8800	 8800	3195	1935	1260	 325	 500	1200	 82	 99	13.1	26	 8588	 63	                              Hendrix College	                Hendrix College	AR	IIB	 485	399	362	421	 664	534	453	 562	 24	 26	 14	  1	  65
1100	                           John Brown U.	AR	private	509	484	 993	23	450	600	440	600	20	27	  605	  405	 284	24	 53	  961	   99	 6398	 6398	3672	1450	2222	 148	 400	1350	 68	 68	13.3	19	 8118	 75	                        John Brown University	          John Brown University	AR	IIB	 372	338	304	341	 478	414	375	 426	 23	 22	 10	  3	  58
1101	              U. Arkansas at Little Rock	AR	public	*	*	*	19	*	*	*	*	17	22	 1766	 1322	1194	*	*	 5753	 4058	 2136	 5352	2435	2435	*	 166	 800	 800	 61	 77	14.7	 4	 4724	 19	        University of Arkansas at Little Rock	      Univ. Ark. at Little Rock	AR	IIA	 536	416	372	415	 651	506	450	 504	128	117	 72	 63	 398
1102	                     Ouachita Baptist U.	AR	private	*	*	*	*	*	*	*	*	21	26	  910	  773	 450	31	 73	 1310	   61	 6530	 6530	2800	2800	*	 100	 500	1500	 63	 67	13.3	10	 6413	 65	                  Ouachita Baptist University	    Ouachita Baptist University	AR	IIB	 422	355	289	342	 529	445	375	 435	 36	 14	 28	 19	  97
1106	                     Williams Baptist C.	AR	private	*	*	*	19	*	*	*	*	17	22	  220	  210	 131	12	 34	  509	   97	 3952	 3952	2292	*	*	 150	 400	 600	 62	 62	18.0	*	 4061	*	                     Williams Baptist College	       Williams Baptist College	AR	IIB	*	*	264	266	*	*	327	 331	  4	  4	 12	  4	  24
1107	                    Southern Arkansas U.	AR	public	*	*	*	*	*	*	*	*	*	*	  792	  792	 499	26	 45	 2229	  270	 1500	 2340	2240	*	*	*	 400	*	 40	 74	17.0	*	 4653	 33	                 Southern Arkansas University	       Southern Ark. Univ.-Main	AR	IIA	 461	389	321	362	 575	484	402	 453	 27	 31	 34	 23	 115
1108	             U. Arkansas at Fayetteville	AR	public	*	*	*	*	*	*	*	*	20	26	 3235	 3108	2133	25	 65	 9978	 1530	 1932	 5028	3300	3300	*	 122	 500	2000	 73	 89	14.8	10	 6820	 39	       University of Arkansas at Fayetteville	    Univ. Arkansas-Fayetteville	AR	I	 563	436	379	452	 686	531	461	 550	314	198	225	 54	 806
10311	                              Harding U.	AR	private	530	490	1020	24	*	*	*	*	20	28	 1721	 1068	 806	35	 75	 3128	  213	 5504	 5504	3528	1650	1878	1016	 700	 910	 71	 77	17.7	37	 6466	 73	                           Harding University	             Harding University	AR	IIB	 424	374	335	380	 512	461	401	 460	 80	 46	 41	  8	 179
1074	                         Grand Canyon U.	AZ	private	485	441	 926	22	420	550	380	500	19	24	  497	  393	 169	*	*	 1364	  454	 6870	 6870	3100	*	*	 370	 400	1125	 56	 60	14.2	*	 6219	 81	                      Grand Canyon University	        Grand Canyon University	AZ	IIB	 358	328	274	299	 439	395	332	 363	 20	 18	 24	 12	  74
1081	            Arizona State U. Main campus	AZ	public	521	453	 974	23	450	590	390	500	20	25	12809	10308	3761	24	 49	22593	 7585	 1828	 7434	4850	*	*	  66	 700	2100	 88	 93	18.9	 5	 4602	 48	         Arizona State University Main campus	       Arizona State University	AZ	I	 603	449	399	489	 723	549	489	 593	576	445	251	  7	1383
1082	                     Northern Arizona U.	AZ	public	495	444	 939	22	420	560	380	500	19	24	 5891	 4931	1973	23	 48	11249	 2682	 1828	 6746	3728	1890	1838	  66	 620	2342	 78	 83	21.7	 7	 6157	 41	                  Northern Arizona University	    Northern Arizona University	AZ	I	 511	422	359	412	 619	518	446	 507	173	192	175	 33	 608
1083	                              U. Arizona	AZ	public	526	462	 983	23	450	600	400	520	20	26	14079	12238	4529	29	 57	21664	 4894	 1828	 7434	4216	2186	2030	  66	 620	2550	 91	 95	19.6	*	 9683	 49	                        University of Arizona	          University of Arizona	AZ	I	 648	462	411	537	 771	561	498	 645	647	377	272	  2	1349
1117	                        Azusa Pacific U.	CA	private	474	428	 902	21	410	560	380	490	19	24	 1080	  948	 504	25	 56	 2032	  122	15500	15500	3700	1900	1800	 206	 250	 750	 47	 60	12.8	 7	 9627	*	                     Azusa Pacific University	       Azusa Pacific University	CA	IIA	 430	375	318	368	 573	494	428	 488	 43	 62	 32	 12	 156
1122	                                Biola U.	CA	private	500	440	 940	22	425	590	400	550	18	26	 1118	  896	 459	*	*	 2058	  111	11388	11388	4546	1984	2562	*	1000	*	 67	 67	16.6	15	 9329	 36	                             Biola University	               Biola University	CA	IIA	 455	369	303	370	 582	462	371	 464	 32	 57	 31	  6	 126
1131	            Cal. Institute of Technology	CA	private	750	660	1410	*	740	780	610	700	*	*	 1916	  507	 210	98	100	  912	*	16695	16695	5051	*	*	 210	 735	3466	100	100	 6.5	36	62469	 83	           California Institute of Technology	      California Inst. of Tech.	CA	I	 970	733	576	866	1204	909	717	1075	173	 40	 44	  0	 257
1133	                        Cal. Lutheran U.	CA	private	495	436	 931	21	430	560	370	490	19	24	  563	  247	 247	23	 52	 1427	  432	12950	12950	5300	5300	*	 215	 612	 576	 72	 74	12.4	17	 8985	 60	               California Lutheran University	      California Lutheran Univ.	CA	IIB	 477	392	335	398	 600	501	433	 507	 32	 21	 33	  6	  92
1137	              Cal. State U. at Fullerton	CA	public	476	395	 871	21	400	540	330	450	17	23	 6004	 4480	1470	*	*	12147	 6681	 1606	 8990	3476	3476	*	1606	 600	*	 88	 93	19.9	*	 6288	 56	          California State Univ. at Fullerton	          Cal.St.Univ-Fullerton	CA	IIA	 605	493	387	544	 760	637	506	 690	393	120	105	  5	 623
1138	                Cal. State U. at Hayward	CA	public	*	*	*	*	*	*	*	*	*	*	 2121	  698	1126	*	*	 6790	 2988	 1432	 8803	2550	2550	*	*	 450	*	*	*	20.5	*	 7237	 47	            California State Univ. at Hayward	            Cal.St.Univ-Hayward	CA	IIA	 606	491	384	552	 762	629	503	 699	258	 69	 49	  7	 383
1139	             Cal. State U. at Long Beach	CA	public	456	382	 838	21	*	*	*	*	*	*	10278	 7746	2576	*	*	*	*	 1053	 8233	4400	4400	*	*	*	*	 80	 83	20.3	*	 5382	 48	         California State Univ. at Long Beach	         Cal.St.Univ-Long Beach	CA	IIA	 600	474	401	542	 751	610	521	 685	491	171	112	  6	 780
1141	        Cal. State U. at Dominguez Hills	CA	public	*	*	*	*	*	*	*	*	*	*	 1493	 1194	 428	*	*	 4246	 2457	 1440	 8820	2116	*	2116	*	*	*	 90	 90	18.1	*	 8257	 24	    California State Univ. at Dominguez Hills	    Cal.St.Univ-Dominguez Hills	CA	IIA	 605	472	392	548	 759	606	593	 705	178	 52	 37	  1	 268
1143	               Cal. Polytechnic-San Luis	CA	public	547	455	1002	21	300	700	300	600	17	26	 7811	 3817	1650	47	 73	12911	 1404	 2033	 7380	4877	2335	2542	  20	 612	2091	 72	 81	19.8	13	 8453	 59	              California Polytechnic-San Luis	   Cal.Poly.St.U-Sn Luis Obispo	CA	IIA	 607	496	394	571	 763	635	514	 721	507	102	 60	  1	 670
1144	                        Cal. Poly-Pomona	CA	public	*	*	*	*	420	570	320	460	17	24	 5945	 3887	1566	*	 60	11177	 4027	*	 5904	4862	2499	2363	1720	 630	2430	 73	 76	18.5	 7	 7867	 50	                       California Poly-Pomona	        Cal.Poly.St.Univ-Pomona	CA	IIA	 610	492	408	559	 766	630	531	 707	411	116	 79	  4	 610
1146	                  Cal. State U. at Chico	CA	public	479	420	 899	21	420	540	370	480	18	23	 4816	 3922	1278	*	 75	11822	 1343	*	 5904	5050	2020	3030	1982	 612	2100	*	*	18.9	 5	 7798	 63	         California State University at Chico	              Cal.St.Univ-Chico	CA	IIA	 604	482	395	558	 758	631	518	 707	413	 86	 73	  2	 574
1147	                 Cal. State U. at Fresno	CA	public	*	*	*	*	*	*	*	*	*	*	 4540	 3294	1483	 5	 60	13494	 1254	 1802	 7706	4368	*	*	*	 600	1926	 90	 90	21.2	 8	 7268	 61	        California State University at Fresno	             Cal.St.Univ-Fresno	CA	IIA	 603	476	382	553	 757	612	500	 699	459	109	 67	 14	 649
1149	                       Humboldt State U.	CA	public	501	455	 956	22	*	*	*	*	*	*	 3467	 2190	 565	*	*	 5637	  678	 1599	 9979	4200	4200	*	1467	 600	 800	 80	 82	16.4	 4	 8650	 65	                    Humboldt State University	      Humboldt State University	CA	IIA	 593	468	387	543	 746	603	507	 688	213	 38	 50	  0	 301
1151	                      San Diego State U.	CA	public	457	394	 851	20	*	*	*	*	*	*	 9402	 7020	2151	20	 70	16407	 5550	 1742	 8384	5110	3556	*	*	 612	2400	 87	 93	19.5	 7	 7930	 41	                   San Diego State University	     San Diego State University	CA	IIA	 602	479	403	547	 756	615	524	 693	576	223	100	 10	 909
1155	                       San Jose State U.	CA	public	467	371	 838	19	380	540	300	440	16	21	 5210	 4094	1420	*	*	14392	 7263	 1976	 8820	4224	1680	2544	 194	 350	2204	 72	 74	17.4	 6	 5957	 46	                    San Jose State University	      San Jose State University	CA	IIA	 598	486	404	528	 750	623	526	 669	431	222	158	  8	 819
1156	                         Sonoma State U.	CA	public	482	486	 968	22	410	540	370	500	19	25	 2726	  982	 557	47	 84	 4239	 1259	*	 7830	5189	3348	1841	2106	 610	1650	 79	 86	16.1	 1	 7304	 40	                      Sonoma State University	        Sonoma State University	CA	IIA	 602	459	380	553	 755	592	497	 699	170	 34	 29	  0	 233
1164	                              Chapman U.	CA	private	501	456	 957	22	430	560	400	500	19	24	  959	  771	 351	23	 48	 1662	  209	16624	16624	5895	5895	*	 521	 600	1100	 72	 80	12.8	 6	12692	 47	                           Chapman University	             Chapman University	CA	IIA	 578	470	420	491	 763	627	573	 656	 38	 37	 36	  0	 111
1170	                    Claremont McKenna C.	CA	private	670	600	1270	28	620	720	560	640	26	30	 1860	  767	 227	71	 93	  887	    1	17000	17000	6010	3160	2850	 140	 500	 850	 99	 99	 9.6	52	18443	 87	                    Claremont McKenna College	      Claremont McKenna College	CA	IIB	 716	516	411	601	 892	661	510	 751	 36	 16	 12	  2	  67
1171	                          Harvey Mudd C.	CA	private	740	630	1370	*	710	770	580	690	*	*	 1377	  572	 178	95	100	  654	    5	17230	17230	6690	3320	3370	 465	 700	 900	100	100	 8.2	46	21569	100	                          Harvey Mudd College	            Harvey Mudd College	CA	IIB	 771	579	454	638	 961	739	588	 805	 34	 14	 20	  0	  68
1172	                               Pitzer C.	CA	private	590	560	1150	26	540	630	530	610	24	29	 1133	  630	 220	37	 73	  750	   30	17688	17688	5900	3192	2708	1548	 650	 850	100	100	10.4	11	14820	 73	                               Pitzer College	                 Pitzer College	CA	IIB	 652	439	381	547	 824	572	482	 695	 31	 10	 13	  0	  54
1173	                               Pomona C.	CA	private	700	640	1340	31	650	730	600	680	*	*	 3037	 1130	 390	80	 98	 1500	*	17720	17720	7220	*	*	 180	 800	1000	 94	 98	 8.9	47	20682	 91	                               Pomona College	                 Pomona College	CA	IIB	 730	525	417	566	 909	658	530	 708	 60	 52	 40	  7	 161
1174	                              Scripps C.	CA	private	590	560	1150	26	540	640	500	610	*	*	  855	  632	 139	60	 83	  569	    7	17238	17238	7350	3500	3850	 112	 600	 800	 95	100	 8.2	41	18372	 73	                              Scripps College	                Scripps College	CA	IIB	 611	458	372	511	 776	588	495	 658	 28	 10	 15	  1	  54
1179	                        C. of Notre Dame	CA	private	*	*	*	*	390	510	380	470	18	23	  344	  264	  97	11	 42	  500	  331	12600	12600	5520	5520	*	*	 630	2250	 77	 80	10.4	 7	 9773	 43	                        College of Notre Dame	          College of Notre Dame	CA	IIB	 524	421	374	448	 630	503	443	 535	 25	 16	 15	  3	  59
1183	                           Holy Names C.	CA	private	450	448	 898	*	390	500	400	470	*	*	  258	  157	  43	*	*	  273	  317	11480	11480	5280	*	*	 290	 630	2034	 75	 75	 7.8	41	10362	 44	                           Holy Names College	             Holy Names College	CA	IIB	 484	394	275	368	 542	443	311	 413	 10	 22	 18	  1	  51
1216	                             U. La Verne	CA	private	472	431	 903	22	400	540	362	475	16	25	 1597	  969	 226	16	 38	 1431	 1522	13540	13540	5050	5050	*	*	 630	2298	 66	 68	14.1	23	10139	 47	                       University of La Verne	         University of La Verne	CA	IIA	 482	392	326	401	 602	478	396	 494	 41	 28	 41	  0	 110
1238	                                Mills C.	CA	private	520	530	1050	25	480	600	470	610	*	*	  529	  414	 132	32	 66	  781	   43	14100	14100	6000	*	3000	 442	 600	1370	*	 99	10.3	24	14299	 64	                                Mills College	                  Mills College	CA	IIA	 593	461	407	492	 737	571	507	 612	 28	 16	 23	  2	  70
1249	                           Occidental C.	CA	private	570	510	1080	*	500	640	440	560	*	*	 2324	 1319	 370	52	 81	 1686	   35	16560	16560	5140	2980	2160	 334	 558	1152	 91	 93	10.5	30	16196	 79	                           Occidental College	             Occidental College	CA	IIB	 624	469	388	490	 806	593	482	 621	 49	 42	 33	 15	 139
1253	                       Fresno Pacific C.	CA	private	532	476	1008	22	470	590	410	530	20	25	  346	  274	 146	51	 87	  704	   63	 9900	 9900	3670	1500	2170	 174	 630	1818	 59	 59	10.5	14	 8095	 54	                       Fresno Pacific College	         Fresno Pacific College	CA	IIB	*	*	*	361	*	*	*	 447	  0	  0	  0	  0	  54
1258	                        Pacific Union C.	CA	private	*	*	*	22	*	*	*	*	19	25	  940	  668	 385	20	 48	 1316	  139	11925	11925	3825	1590	2235	*	 630	1926	 48	 87	12.3	12	 9157	 69	                        Pacific Union College	          Pacific Union College	CA	IIB	 362	333	315	336	 441	398	376	 403	 40	 17	 41	  4	 102
1262	                  Point Loma Nazarene C.	CA	private	472	425	 897	21	390	540	360	490	19	23	  809	  687	 428	20	 43	 1889	  217	10176	10178	4190	*	*	 134	 800	 750	 71	 71	16.1	19	 7895	 54	                  Point Loma Nazarene College	    Point Loma Nazarene College	CA	IIB	 507	393	358	429	 637	523	468	 549	 43	 21	 23	  7	  94
1264	                           Pepperdine U.	CA	private	585	514	1099	25	510	630	450	550	22	28	 3821	 2037	 680	86	 96	 2488	  625	18200	18200	6770	3750	3020	  70	 500	 700	 95	 98	11.6	13	16185	 66	                        Pepperdine University	          Pepperdine University	CA	IIA	 715	561	511	637	 930	737	645	 829	130	 72	 22	  7	 231
1302	                   St. Mary's C. of Cal.	CA	private	549	483	1032	*	501	598	432	538	*	*	 2643	 1611	 465	36	 80	 2615	  248	13332	13332	6354	3177	3177	 120	 630	1584	 88	 89	16.1	17	 9619	 78	             St. Mary's College of California	   Saint Mary's Coll. of Calif.	CA	IIA	 614	494	404	500	 754	616	497	 618	 38	 55	 42	  0	 135
1305	                             Stanford U.	CA	private	736	665	1401	31	650	750	580	690	26	33	13608	 2926	1616	88	 97	 6573	*	18669	18669	6795	*	*	*	 840	1355	*	 99	 9.7	25	33629	 96	                          Stanford University	            Stanford University	CA	I	 952	658	519	824	1144	814	653	1000	533	139	145	  0	 834
1312	                     U. Cal. at Berkeley	CA	public	654	564	1218	*	590	730	500	640	*	*	19873	 8252	3215	95	100	19532	 2061	 3949	11648	6246	*	*	*	 636	1933	 93	 97	15.8	10	13919	 78	         University of California at Berkeley	        Univ.of Calif.-Berkeley	CA	I	 764	513	433	650	 939	631	533	 799	834	229	209	  0	1346
1313	                        U. Cal. at Davis	CA	public	585	485	1070	24	520	650	420	560	21	27	16343	11399	3124	95	100	15429	 1888	*	 7699	5285	*	*	4374	 841	2374	*	 98	14.5	11	15873	 76	            University of California at Davis	           Univ.of Calif.-Davis	CA	I	 683	478	404	561	 840	588	496	 689	535	190	234	  0	1072
1314	                       U. Cal. at Irvine	CA	public	574	455	1029	*	510	640	390	510	*	*	15698	10775	2478	85	100	12677	  864	 4325	12024	5302	*	*	*	 790	1818	 96	 96	16.1	11	15934	 66	           University of California at Irvine	          Univ.of Calif.-Irvine	CA	I	 708	488	423	574	 870	599	520	 705	319	161	138	  0	 673
